11,2
11,3
12,2
13,2
14,2
14,3
14,4
15,2
17,2
19,2
25,2
32,2
34,2
34,3
34,4
39,2
39,3
39,4
44,2
44,3
46,2
46,3
46,4
47,2
47,3
47,4
50,2
50,3
50,4
54,2
66,2
66,3
66,4
66,5
66,6
67,2
67,3
67,4
67,5
67,6
67,7
67,8
67,9
67,10
67,11
77,2
78,2
78,3
80,2
81,2
81,3
84,2
84,3
84,4
85,2
85,3
85,4
87,2
87,3
89,2
93,2
97,2
100,2
106,2
106,3
109,2
109,3
110,2
110,3
110,4
113,2
113,3
113,4
116,2
117,2
117,3
117,4
121,2
121,3
123,2
123,3
123,4
124,2
124,3
124,4
131,2
131,3
131,4
131,5
131,6
131,7
133,2
133,3
138,2
142,2
143,2
143,3
143,4
146,2
146,3
148,2
148,3
148,4
148,5
148,6
148,7
148,8
149,2
154,2
154,3
160,2
160,3
161,2
161,3
163,2
163,3
163,4
165,2
168,2
169,2
174,2
174,3
177,2
177,3
181,2
181,3
181,4
182,2
182,3
182,4
182,5
184,2
191,2
198,2
199,2
203,2
203,3
205,2
208,2
218,2
229,2
232,2
234,2
234,3
234,4
234,5
234,6
237,2
249,2
251,2
251,3
263,2
263,3
263,4
263,5
269,2
269,3
277,2
291,2
294,2
296,2
303,2
305,2
312,2
321,2
321,3
321,4
323,2
323,3
323,4
323,5
323,6
323,7
323,8
323,9
323,10
323,11
326,2
347,2
347,3
347,4
347,5
347,6
347,7
347,8
347,9
388,2
388,3
388,4
420,2
420,3
420,4
420,5
420,6
420,7
420,8
420,9
420,10
420,11
420,12
420,13
616,2
616,3
616,4
